Data,Atividade,Quantidade Processada,Quantidade em Estoque
2023-09-19 20:15:43,PACKING,2,100
2023-09-19 20:15:46,BOXING,4,2
2023-09-19 20:15:51,PACKING,2,200
2023-09-19 20:15:57,BOXING,2,2
2023-09-19 20:15:59,PACKING,4,100
2023-09-19 20:16:07,BOXING,2,4
2023-09-19 20:16:07,PACKING,2,200
2023-09-19 20:16:16,PACKING,4,200
2023-09-19 20:16:17,BOXING,4,6
2023-09-19 20:16:24,PACKING,4,100
2023-09-19 20:16:27,BOXING,6,4
2023-09-19 20:16:32,PACKING,2,200
2023-09-19 20:16:37,BOXING,4,2
2023-09-19 20:16:40,PACKING,4,100
2023-09-19 20:16:47,BOXING,2,4
2023-09-19 20:16:48,PACKING,2,200
2023-09-19 20:16:56,PACKING,4,200
2023-09-19 20:16:57,BOXING,4,6
2023-09-19 20:17:04,PACKING,4,100
2023-09-19 20:17:07,BOXING,6,4
2023-09-19 20:17:12,PACKING,2,200
2023-09-19 20:17:17,BOXING,4,2
2023-09-19 20:17:20,PACKING,4,100
2023-09-19 20:17:27,BOXING,2,4
2023-09-19 20:17:28,PACKING,2,200
2023-09-19 20:17:36,PACKING,4,100
2023-09-19 20:17:37,BOXING,4,6
2023-09-19 20:17:44,PACKING,2,100
2023-09-19 20:17:47,BOXING,6,2
2023-09-19 20:17:52,PACKING,2,200
2023-09-19 20:17:57,BOXING,2,2
2023-09-19 20:18:00,PACKING,4,100
2023-09-19 20:18:07,BOXING,2,4
2023-09-19 20:18:08,PACKING,2,0
2023-09-19 20:18:17,BOXING,4,2
2023-09-19 20:18:26,PACKING,0,250
2023-09-19 20:18:27,BOXING,2,0
2023-09-19 20:18:34,PACKING,200,50
2023-09-19 20:18:42,PACKING,0,50
2023-09-19 20:18:47,BOXING,200,0
2023-09-19 20:18:50,PACKING,0,150
2023-09-19 20:18:58,PACKING,3,100
2023-09-19 20:19:06,PACKING,2,200
2023-09-19 20:19:12,BOXING,3,2
2023-09-19 20:19:14,PACKING,4,100
2023-09-19 20:19:22,BOXING,2,4
2023-09-19 20:19:22,PACKING,2,100
2023-09-19 20:19:30,PACKING,2,100
2023-09-19 20:19:32,BOXING,4,4
2023-09-19 20:19:38,PACKING,2,200
2023-09-19 20:19:42,BOXING,4,2
2023-09-19 20:19:46,PACKING,4,100
2023-09-19 20:19:52,BOXING,2,4
2023-09-19 20:19:54,PACKING,2,100
2023-09-19 20:20:02,BOXING,4,2
2023-09-19 20:20:02,PACKING,2,200
2023-09-19 20:20:10,PACKING,4,100
2023-09-19 20:20:12,BOXING,2,6
2023-09-19 20:20:18,PACKING,2,200
2023-09-19 20:20:22,BOXING,6,2
2023-09-19 20:20:26,PACKING,4,200
2023-09-19 20:20:32,BOXING,2,4
2023-09-19 20:20:34,PACKING,4,100
2023-09-19 20:20:42,BOXING,4,4
2023-09-19 20:20:42,PACKING,2,200
2023-09-19 20:20:50,PACKING,4,100
2023-09-19 20:20:52,BOXING,4,6
2023-09-19 20:20:58,PACKING,2,100
2023-09-19 20:21:02,BOXING,6,2
2023-09-19 20:21:06,PACKING,2,100
2023-09-19 20:21:12,BOXING,2,2
2023-09-19 20:21:14,PACKING,2,100
2023-09-19 20:21:22,BOXING,2,2
2023-09-19 20:21:22,PACKING,2,100
2023-09-19 20:21:30,PACKING,2,100
2023-09-19 20:21:32,BOXING,2,4
2023-09-19 20:21:38,PACKING,2,200
2023-09-19 20:21:42,BOXING,4,2
2023-09-19 20:21:46,PACKING,4,200
2023-09-19 20:21:52,BOXING,2,4
2023-09-19 20:21:54,PACKING,4,100
2023-09-19 20:22:02,BOXING,4,4
2023-09-19 20:22:02,PACKING,2,100
2023-09-19 20:22:10,PACKING,2,100
2023-09-19 20:22:12,BOXING,4,4
2023-09-19 20:22:18,PACKING,2,200
2023-09-19 20:22:22,BOXING,4,2
2023-09-19 20:22:26,PACKING,4,200
2023-09-19 20:22:32,BOXING,2,4
2023-09-19 20:22:34,PACKING,4,100
2023-09-19 20:22:42,BOXING,4,4
2023-09-19 20:22:42,PACKING,2,100
2023-09-19 20:22:50,PACKING,2,0
2023-09-19 20:22:52,BOXING,4,4
2023-09-19 20:23:02,BOXING,4,0
2023-09-19 20:23:18,PACKING,2,200
2023-09-19 20:23:26,PACKING,4,200
2023-09-19 20:23:32,BOXING,2,4
2023-09-19 20:23:34,PACKING,4,100
2023-09-19 20:23:42,BOXING,4,4
2023-09-19 20:23:43,PACKING,2,200
2023-09-19 20:23:51,PACKING,4,0
2023-09-19 20:23:52,BOXING,4,6
2023-09-19 20:24:02,BOXING,6,0
2023-09-19 20:24:04,PACKING,2,200
2023-09-19 20:24:12,PACKING,4,200
2023-09-19 20:24:17,BOXING,2,4
2023-09-19 20:24:20,PACKING,4,100
2023-09-19 20:24:27,BOXING,4,4
2023-09-19 20:24:28,PACKING,2,100
2023-09-19 20:24:36,PACKING,2,100
2023-09-19 20:24:37,BOXING,4,4
2023-09-19 20:24:44,PACKING,2,200
2023-09-19 20:24:47,BOXING,4,2
2023-09-19 20:24:52,PACKING,4,200
2023-09-19 20:24:57,BOXING,2,4
2023-09-19 20:25:00,PACKING,4,0
2023-09-19 20:25:07,BOXING,4,4
2023-09-19 20:25:17,BOXING,4,0
2023-09-19 20:25:18,PACKING,2,200
2023-09-19 20:25:26,PACKING,4,100
2023-09-19 20:25:32,BOXING,2,4
2023-09-19 20:25:34,PACKING,2,0
2023-09-19 20:25:42,BOXING,4,2
2023-09-19 20:25:47,PACKING,2,200
2023-09-19 20:25:52,BOXING,2,2
2023-09-19 20:25:55,PACKING,4,100
2023-09-19 20:26:02,BOXING,2,4
2023-09-19 20:26:03,PACKING,2,200
2023-09-19 20:26:11,PACKING,4,100
2023-09-19 20:26:12,BOXING,4,6
2023-09-19 20:26:19,PACKING,2,200
2023-09-19 20:26:22,BOXING,6,2
2023-09-19 20:26:27,PACKING,4,200
2023-09-19 20:26:32,BOXING,2,4
2023-09-19 20:26:35,PACKING,4,0
2023-09-19 20:26:42,BOXING,4,4
2023-09-19 20:26:52,BOXING,4,0
2023-09-19 20:26:53,PACKING,2,200
2023-09-19 20:27:01,PACKING,4,100
2023-09-19 20:27:07,BOXING,2,4
2023-09-19 20:27:09,PACKING,2,200
2023-09-19 20:27:17,PACKING,4,200
2023-09-19 20:27:18,BOXING,4,6
2023-09-19 20:27:25,PACKING,4,100
2023-09-19 20:27:28,BOXING,6,4
2023-09-19 20:27:33,PACKING,2,200
2023-09-19 20:27:38,BOXING,4,2
2023-09-19 20:27:41,PACKING,4,0
2023-09-19 20:27:48,BOXING,2,4
2023-09-19 20:27:58,BOXING,4,0
2023-09-19 20:28:04,PACKING,2,200
2023-09-19 20:28:12,PACKING,4,200
2023-09-19 20:28:18,BOXING,2,4
2023-09-19 20:28:20,PACKING,4,0
2023-09-19 20:28:28,BOXING,4,4
2023-09-19 20:28:33,PACKING,2,200
2023-09-19 20:28:38,BOXING,4,2
2023-09-19 20:28:41,PACKING,4,100
2023-09-19 20:28:48,BOXING,2,4
2023-09-19 20:28:49,PACKING,2,200
2023-09-19 20:28:57,PACKING,4,200
2023-09-19 20:28:58,BOXING,4,6
2023-09-19 20:29:05,PACKING,4,100
2023-09-19 20:29:08,BOXING,6,4
2023-09-19 20:29:13,PACKING,2,200
2023-09-19 20:29:18,BOXING,4,2
2023-09-19 20:29:21,PACKING,4,0
2023-09-19 20:29:28,BOXING,2,4
2023-09-19 20:29:38,BOXING,4,0
2023-09-19 20:29:39,PACKING,2,200
2023-09-19 20:29:47,PACKING,4,100
2023-09-19 20:29:53,BOXING,2,4
2023-09-19 20:29:55,PACKING,2,0
2023-09-19 20:30:03,BOXING,4,2
2023-09-19 20:30:08,PACKING,2,200
2023-09-19 20:30:13,BOXING,2,2
2023-09-19 20:30:16,PACKING,4,100
2023-09-19 20:30:23,BOXING,2,4
2023-09-19 20:30:24,PACKING,2,200
2023-09-19 20:30:32,PACKING,4,200
2023-09-19 20:30:33,BOXING,4,6
2023-09-19 20:30:40,PACKING,4,100
2023-09-19 20:30:43,BOXING,6,4
2023-09-19 20:30:49,PACKING,2,200
2023-09-19 20:30:53,BOXING,4,2
2023-09-19 20:30:57,PACKING,4,100
2023-09-19 20:31:03,BOXING,2,4
2023-09-19 20:31:05,PACKING,2,200
2023-09-19 20:31:13,PACKING,4,200
2023-09-19 20:31:13,BOXING,4,6
2023-09-19 20:31:21,PACKING,4,100
2023-09-19 20:31:23,BOXING,6,4
2023-09-19 20:31:29,PACKING,2,0
2023-09-19 20:31:33,BOXING,4,2
2023-09-19 20:31:42,PACKING,2,100
2023-09-19 20:31:43,BOXING,2,2
2023-09-19 20:31:50,PACKING,2,100
2023-09-19 20:31:53,BOXING,2,2
2023-09-19 20:31:58,PACKING,2,200
2023-09-19 20:32:03,BOXING,2,2
2023-09-19 20:32:06,PACKING,4,100
