Data,Atividade,Quantidade Processada,Acao,Quantidade em Estoque
2023-09-19 20:15:50,QUALITY,100,Passed,500
2023-09-19 20:15:55,QUALITY,100,Passed,600
2023-09-19 20:16:00,QUALITY,100,Passed,500
2023-09-19 20:16:05,QUALITY,100,Passed,600
2023-09-19 20:16:10,QUALITY,100,Passed,500
2023-09-19 20:16:15,QUALITY,100,Passed,600
2023-09-19 20:16:20,QUALITY,100,Passed,700
2023-09-19 20:16:25,QUALITY,100,Passed,600
2023-09-19 20:16:30,QUALITY,100,Passed,700
2023-09-19 20:16:35,QUALITY,100,Passed,800
2023-09-19 20:16:40,QUALITY,100,Passed,700
2023-09-19 20:16:45,QUALITY,100,Passed,800
2023-09-19 20:16:50,QUALITY,100,Passed,700
2023-09-19 20:16:55,QUALITY,100,Passed,800
2023-09-19 20:17:00,QUALITY,100,Passed,900
2023-09-19 20:17:05,QUALITY,100,Passed,800
2023-09-19 20:17:10,QUALITY,100,Passed,900
2023-09-19 20:17:15,QUALITY,100,Passed,800
2023-09-19 20:17:20,QUALITY,100,Passed,700
2023-09-19 20:17:25,QUALITY,100,Passed,600
2023-09-19 20:17:35,QUALITY,100,Passed,400
2023-09-19 20:17:40,QUALITY,100,Passed,300
2023-09-19 20:17:45,QUALITY,100,Passed,200
2023-09-19 20:17:50,QUALITY,100,Passed,100
2023-09-19 20:17:55,QUALITY,100,Passed,0
2023-09-19 20:18:10,QUALITY,100,Returned,50
2023-09-19 20:18:15,QUALITY,50,Passed,200
2023-09-19 20:18:20,QUALITY,100,Passed,100
2023-09-19 20:18:25,QUALITY,100,Passed,200
2023-09-19 20:18:45,QUALITY,100,Passed,400
2023-09-19 20:18:50,QUALITY,100,Passed,300
2023-09-19 20:18:55,QUALITY,100,Returned,400
2023-09-19 20:19:00,QUALITY,100,Passed,300
2023-09-19 20:19:05,QUALITY,100,Passed,400
2023-09-19 20:19:10,QUALITY,100,Passed,500
2023-09-19 20:19:15,QUALITY,100,Returned,400
2023-09-19 20:19:20,QUALITY,100,Passed,500
2023-09-19 20:19:25,QUALITY,100,Passed,600
2023-09-19 20:19:30,QUALITY,100,Passed,500
2023-09-19 20:19:35,QUALITY,100,Passed,600
2023-09-19 20:19:40,QUALITY,100,Returned,500
2023-09-19 20:19:45,QUALITY,100,Passed,600
2023-09-19 20:19:50,QUALITY,100,Passed,700
2023-09-19 20:19:55,QUALITY,100,Passed,600
2023-09-19 20:20:00,QUALITY,100,Passed,700
2023-09-19 20:20:05,QUALITY,100,Passed,800
2023-09-19 20:20:10,QUALITY,100,Passed,700
2023-09-19 20:20:15,QUALITY,100,Passed,800
2023-09-19 20:20:20,QUALITY,100,Passed,700
2023-09-19 20:20:25,QUALITY,100,Passed,800
2023-09-19 20:20:30,QUALITY,100,Passed,900
2023-09-19 20:20:35,QUALITY,100,Passed,800
2023-09-19 20:20:40,QUALITY,100,Passed,900
2023-09-19 20:20:45,QUALITY,100,Passed,1000
2023-09-19 20:20:50,QUALITY,100,Passed,900
2023-09-19 20:21:05,QUALITY,100,Passed,1000
2023-09-19 20:21:10,QUALITY,100,Passed,1100
2023-09-19 20:21:15,QUALITY,100,Passed,1000
2023-09-19 20:21:20,QUALITY,100,Returned,1100
2023-09-19 20:21:25,QUALITY,100,Passed,1200
2023-09-19 20:21:30,QUALITY,100,Passed,1100
2023-09-19 20:21:35,QUALITY,100,Passed,1200
2023-09-19 20:21:40,QUALITY,100,Passed,1100
2023-09-19 20:21:45,QUALITY,100,Passed,1200
2023-09-19 20:21:50,QUALITY,100,Passed,1300
2023-09-19 20:22:00,QUALITY,100,Passed,1300
2023-09-19 20:22:05,QUALITY,100,Passed,1400
2023-09-19 20:22:10,QUALITY,100,Passed,1300
2023-09-19 20:22:16,QUALITY,100,Passed,1400
2023-09-19 20:22:21,QUALITY,100,Passed,1300
2023-09-19 20:22:26,QUALITY,100,Passed,1400
2023-09-19 20:22:31,QUALITY,100,Passed,1500
2023-09-19 20:22:41,QUALITY,100,Passed,1500
2023-09-19 20:22:46,QUALITY,100,Returned,1450
2023-09-19 20:22:51,QUALITY,100,Returned,1350
2023-09-19 20:23:01,QUALITY,100,Returned,1250
2023-09-19 20:23:06,QUALITY,100,Passed,1150
2023-09-19 20:23:11,QUALITY,100,Passed,1250
2023-09-19 20:23:16,QUALITY,100,Passed,1350
2023-09-19 20:23:21,QUALITY,100,Passed,1250
2023-09-19 20:23:26,QUALITY,100,Passed,1350
2023-09-19 20:23:31,QUALITY,100,Passed,1450
2023-09-19 20:23:36,QUALITY,100,Passed,1350
2023-09-19 20:23:41,QUALITY,100,Passed,1450
2023-09-19 20:23:51,QUALITY,100,Passed,1450
2023-09-19 20:23:56,QUALITY,100,Passed,1550
2023-09-19 20:24:01,QUALITY,100,Passed,1450
2023-09-19 20:24:06,QUALITY,100,Passed,1550
2023-09-19 20:24:11,QUALITY,100,Passed,1650
2023-09-19 20:24:16,QUALITY,100,Passed,1550
2023-09-19 20:24:21,QUALITY,100,Passed,1650
2023-09-19 20:24:31,QUALITY,100,Passed,1650
2023-09-19 20:24:36,QUALITY,100,Passed,1550
2023-09-19 20:24:41,QUALITY,100,Passed,1450
2023-09-19 20:24:46,QUALITY,100,Passed,1500
2023-09-19 20:24:51,QUALITY,100,Passed,1400
2023-09-19 20:24:56,QUALITY,100,Returned,1500
2023-09-19 20:25:01,QUALITY,100,Returned,1600
2023-09-19 20:25:06,QUALITY,100,Passed,1500
2023-09-19 20:25:11,QUALITY,100,Passed,1600
2023-09-19 20:25:16,QUALITY,100,Passed,1700
2023-09-19 20:25:21,QUALITY,100,Passed,1600
2023-09-19 20:25:36,QUALITY,100,Passed,1550
2023-09-19 20:25:41,QUALITY,100,Passed,1450
2023-09-19 20:25:46,QUALITY,100,Passed,1350
2023-09-19 20:25:51,QUALITY,100,Passed,1250
2023-09-19 20:25:56,QUALITY,100,Passed,1150
2023-09-19 20:26:01,QUALITY,100,Passed,1050
2023-09-19 20:26:06,QUALITY,100,Passed,950
2023-09-19 20:26:11,QUALITY,100,Passed,850
2023-09-19 20:26:16,QUALITY,100,Passed,750
2023-09-19 20:26:21,QUALITY,100,Passed,650
2023-09-19 20:26:26,QUALITY,100,Passed,700
2023-09-19 20:26:31,QUALITY,100,Returned,600
2023-09-19 20:26:36,QUALITY,100,Returned,700
2023-09-19 20:26:41,QUALITY,100,Passed,800
2023-09-19 20:26:46,QUALITY,100,Passed,700
2023-09-19 20:26:51,QUALITY,100,Passed,800
2023-09-19 20:26:56,QUALITY,100,Passed,700
2023-09-19 20:27:01,QUALITY,100,Passed,800
2023-09-19 20:27:06,QUALITY,100,Passed,900
2023-09-19 20:27:11,QUALITY,100,Passed,800
2023-09-19 20:27:16,QUALITY,100,Passed,900
2023-09-19 20:27:21,QUALITY,100,Passed,1000
2023-09-19 20:27:26,QUALITY,100,Passed,900
2023-09-19 20:27:32,QUALITY,100,Passed,950
2023-09-19 20:27:42,QUALITY,100,Returned,750
2023-09-19 20:27:52,QUALITY,100,Passed,550
2023-09-19 20:27:57,QUALITY,100,Passed,550
2023-09-19 20:28:02,QUALITY,100,Passed,450
2023-09-19 20:28:07,QUALITY,100,Passed,500
2023-09-19 20:28:12,QUALITY,100,Passed,400
2023-09-19 20:28:17,QUALITY,100,Returned,500
2023-09-19 20:28:22,QUALITY,100,Passed,600
2023-09-19 20:28:27,QUALITY,100,Passed,500
2023-09-19 20:28:32,QUALITY,100,Passed,600
2023-09-19 20:28:37,QUALITY,100,Passed,500
2023-09-19 20:28:42,QUALITY,100,Passed,600
2023-09-19 20:28:47,QUALITY,100,Passed,700
2023-09-19 20:28:52,QUALITY,100,Passed,600
2023-09-19 20:28:57,QUALITY,100,Passed,700
2023-09-19 20:29:02,QUALITY,100,Passed,800
2023-09-19 20:29:07,QUALITY,100,Passed,700
2023-09-19 20:29:12,QUALITY,100,Passed,800
2023-09-19 20:29:27,QUALITY,100,Passed,900
2023-09-19 20:29:32,QUALITY,100,Passed,800
2023-09-19 20:29:37,QUALITY,100,Passed,900
2023-09-19 20:29:47,QUALITY,100,Passed,900
2023-09-19 20:29:52,QUALITY,100,Returned,1000
2023-09-19 20:29:57,QUALITY,100,Passed,900
2023-09-19 20:30:02,QUALITY,100,Passed,1000
2023-09-19 20:30:07,QUALITY,100,Passed,1100
2023-09-19 20:30:12,QUALITY,100,Passed,1000
2023-09-19 20:30:17,QUALITY,100,Passed,1100
2023-09-19 20:30:22,QUALITY,100,Passed,1200
2023-09-19 20:30:27,QUALITY,100,Passed,1100
2023-09-19 20:30:32,QUALITY,100,Passed,1200
2023-09-19 20:30:37,QUALITY,100,Passed,1100
2023-09-19 20:30:42,QUALITY,100,Passed,1200
2023-09-19 20:30:47,QUALITY,100,Passed,1300
2023-09-19 20:30:52,QUALITY,100,Passed,1200
2023-09-19 20:30:57,QUALITY,100,Passed,1300
2023-09-19 20:31:02,QUALITY,100,Passed,1400
2023-09-19 20:31:07,QUALITY,100,Passed,1300
2023-09-19 20:31:12,QUALITY,100,Passed,1400
2023-09-19 20:31:17,QUALITY,100,Passed,1300
2023-09-19 20:31:22,QUALITY,100,Returned,1400
2023-09-19 20:31:32,QUALITY,100,Passed,1400
2023-09-19 20:31:37,QUALITY,100,Passed,1500
2023-09-19 20:31:42,QUALITY,100,Passed,1600
2023-09-19 20:31:47,QUALITY,100,Returned,1500
2023-09-19 20:31:52,QUALITY,100,Passed,1600
2023-09-19 20:31:57,QUALITY,100,Passed,1500
2023-09-19 20:32:02,QUALITY,100,Passed,1600
2023-09-19 20:32:07,QUALITY,100,Returned,1700
2023-09-19 20:32:12,QUALITY,100,Passed,1600
2023-09-19 20:32:22,QUALITY,100,Passed,1800
2023-09-19 20:32:27,QUALITY,100,Passed,1700
2023-09-19 20:32:33,QUALITY,100,Returned,1800
2023-09-19 20:32:38,QUALITY,100,Passed,1700
2023-09-19 20:32:43,QUALITY,100,Passed,1800
2023-09-19 20:32:48,QUALITY,100,Passed,1850
2023-09-19 20:32:53,QUALITY,100,Passed,1750
2023-09-19 20:32:58,QUALITY,100,Passed,1650
2023-09-19 20:33:03,QUALITY,100,Passed,1550
2023-09-19 20:33:08,QUALITY,100,Returned,1600
